# numero;nombre;partido_numero;provincia_numero
607,CAPITAN CASTRO,94,1
608,FRANCISCO MADERO,94,1
609,JUAN JOSE PASO,94,1
610,MAGDALA,94,1
611,MONES CAZON,94,1
612,NUEVA PLATA,94,1
613,PEHUAJO,94,1
614,SAN BERNARDO,94,1
615,SAN ESTEBAN,94,1
616,BOCAYUVA,95,1
617,DE BARY,95,1
618,PELLEGRINI,95,1
619,ACEVEDO,96,1
620,FONTEZUELA,96,1
621,GUERRICO,96,1
622,JUAN A. DE LA PE\u00d1A,96,1
623,JUAN ANCHORENA,96,1
624,LA VIOLETA,96,1
625,MANUEL OCAMPO,96,1
626,MARIANO BENITEZ,96,1
627,MARIANO H. ALFONZO,96,1
628,PERGAMINO,96,1
629,PINZON,96,1
630,RANCAGUA,96,1
631,VILLA ANGELICA,96,1
632,VILLA SAN JOSE,96,1
633,CASALINS,97,1
634,PILA,97,1
635,DEL VISO,98,1
636,FATIMA,98,1
637,LA LONJA,98,1
638,LOS CACHORROS,98,1
639,MANZANARES,98,1
640,MANZONE,98,1
641,MAQUINISTA F. SAVIO OESTE,98,1
642,PILAR,98,1
643,PRESIDENTE DERQUI,98,1
644,ROBERTO DE VICENZO,98,1
645,SANTA TERESA,98,1
646,TORTUGUITAS,98,1
647,VILLA ASTOLFI,98,1
648,VILLA ROSA,98,1
649,ZELAYA,98,1
650,CARILO,99,1
651,OSTENDE,99,1
652,PINAMAR,99,1
653,VALERIA DEL MAR,99,1
654,BARRIO AMERICA UNIDA,100,1
655,GUERNICA,100,1
656,PRESIDENTE PERON,100,1
657,17 DE AGOSTO,101,1
658,AZOPARDO,101,1
659,BORDENAVE,101,1
660,DARREGUEIRA,101,1
661,ESTELA,101,1
662,FELIPE SOLA,101,1
663,LOPEZ LECUBE,101,1
664,PUAN,101,1
665,SAN GERMAN,101,1
666,VILLA CASTELAR,101,1
667,VILLA IRIS,101,1
668,ALVAREZ JONTE,102,1
669,PIPINAS,102,1
670,PUNTA INDIO,102,1
671,VERONICA,102,1
672,BERNAL,103,1
673,BERNAL OESTE,103,1
674,DON BOSCO,103,1
675,EZPELETA,103,1
676,EZPELETA OESTE,103,1
677,QUILMES,103,1
678,QUILMES OESTE,103,1
679,SAN FRANCISCO SOLANO,103,1
680,VILLA LA FLORIDA,103,1
681,EL PARAISO,104,1
682,LAS BAHAMAS,104,1
683,PEREZ MILLAN,104,1
684,RAMALLO,104,1
685,VILLA GENERAL SAVIO,104,1
686,VILLA RAMALLO,104,1
687,RAUCH,105,1
688,AMERICA,106,1
689,FORTIN OLAVARRIA,106,1
690,GONZALEZ MORENO,106,1
691,MIRA PAMPA,106,1
692,ROOSEVELT,106,1
693,SAN MAURICIO,106,1
694,SANSINENA,106,1
695,SUNDBLAD,106,1
696,BARRIO LAS MARGARITAS,107,1
697,LA BEBA,107,1
698,LAS CARABELAS,107,1
699,LOS INDIOS,107,1
700,RAFAEL OBLIGADO,107,1
701,ROBERTO CANO,107,1
702,ROJAS,107,1
703,SOL DE MAYO,107,1
704,VILLA MANUEL POMAR,107,1
705,VILLA PARQUE CECIR,107,1
706,CARLOS BEGUERIE,108,1
707,ROQUE PEREZ,108,1
708,ARROYO CORTO,109,1
709,COLONIA SAN MARTIN,109,1
710,DUFAUR,109,1
711,ESPARTILLAR,109,1
712,GOYENA,109,1
713,PIG\u00dcE,109,1
714,SAAVEDRA,109,1
715,ALVAREZ DE TOLEDO,110,1
716,CAZON,110,1
717,DEL CARRIL,110,1
718,POLVAREDAS,110,1
719,QUENUMA,111,1
720,SALLIQUELO,111,1
721,ARROYO DULCE,112,1
722,BERDIER,112,1
723,GAHAN,112,1
724,INES INDART,112,1
725,LA INVENCIBLE,112,1
726,SALTO,112,1
727,AZCUENAGA,113,1
728,CUCULLU,113,1
729,FRANKLIN,113,1
730,SAN ANDRES DE GILES,113,1
731,SOLIS,113,1
732,VILLA ESPIL,113,1
733,VILLA RUIZ,113,1
734,DUGGAN,114,1
735,SAN ANTONIO DE ARECO,114,1
736,VILLA LIA,114,1
737,BALNEARIO SAN CAYETANO,115,1
738,OCHANDIO,115,1
739,SAN CAYETANO,115,1
740,SAN FERNANDO,116,1
741,VICTORIA,116,1
742,VIRREYES,116,1
743,ACASUSSO,117,1
744,BECCAR,117,1
745,BOULOGNE SUR MER,117,1
746,MARTINEZ,117,1
747,SAN ISIDRO,117,1
748,VILLA ADELINA,117,1
749,BELLA VISTA,118,1
750,CAMPO DE MAYO,118,1
751,MU\u00d1IZ,118,1
752,SAN MIGUEL,118,1
753,CAMPOS SALLES,119,1
754,CONESA,119,1
755,EREZCANO,119,1
756,GENERAL ROJO,119,1
757,LA EMILIA,119,1
758,SAN NICOLAS DE LOS ARROYOS,119,1
759,VILLA CAMPI,119,1
760,VILLA CANTO,119,1
761,VILLA ESPERANZA,119,1
762,VILLA RICCIO,119,1
763,GOBERNADOR CASTRO,120,1
764,OBLIGADO,120,1
765,PUEBLO DOYLE,120,1
766,RIO TALA,120,1
767,SAN PEDRO,120,1
768,SANTA LUCIA,120,1
769,ALEJANDRO KORN,121,1
770,DOMSELAAR,121,1
771,SAN VICENTE,121,1
772,GENERAL RIVAS,122,1
773,SUIPACHA,122,1
774,DE LA CANAL,123,1
775,GARDEY,123,1
776,MARIA IGNACIA,123,1
777,TANDIL,123,1
778,CROTTO,124,1
779,TAPALQUE,124,1
780,VELLOSO,124,1
781,BENAVIDEZ,125,1
782,DIQUE LUJAN,125,1
783,DON TORCUATO ESTE,125,1
784,DON TORCUATO OESTE,125,1
785,EL TALAR,125,1
786,GENERAL PACHECO,125,1
787,RICARDO ROJAS,125,1
788,RINCON DE MILBERG,125,1
789,TIGRE,125,1
790,TRONCOS DEL TALAR,125,1
791,GENERAL CONESA,126,1
792,CHASICO,127,1
793,LA GRUTA,127,1
794,TORNQUIST,127,1
795,TRES PICOS,127,1
796,VILLA VENTANA,127,1
